Iphone_Type,Price,RatingApple iPhone SE (Space Grey| 32 GB),Rs.17,999,4.4
Apple iPhone 6 (Gold| 32 GB),Rs.24,999,4.4
Apple iPhone SE (Rose Gold| 32 GB),Rs.17,999,4.4
Apple iPhone 6 (Space Grey| 32 GB),Rs.24,999,4.4
Apple iPhone SE (Gold| 32 GB),Rs.17,999,4.4
Apple iPhone SE (Silver| 32 GB),Rs.17,999,4.4
Apple iPhone 7 (Rose Gold| 32 GB),Rs.47,999,4.5
Apple iPhone 6s Plus (Space Grey| 32 GB),Rs.37,999,4.5
Apple iPhone 6s Plus (Rose Gold| 32 GB),Rs.37,999,4.4
Apple iPhone 6s (Space Grey| 32 GB),Rs.34,999,4.4
Apple iPhone 7 (Black| 32 GB),Rs.48,999,4.5
Apple iPhone 6s (Rose Gold| 32 GB),Rs.35,999,4.4
Apple iPhone 6s Plus (Gold| 32 GB),Rs.37,999,4.4
Apple iPhone 7 (Gold| 32 GB),Rs.48,999,4.5
Apple iPhone 6s Plus (Silver| 32 GB),Rs.37,999,4.5
Apple iPhone 6s (Gold| 32 GB),Rs.35,999,4.4
Apple iPhone 6s (Silver| 32 GB),Rs.35,999,4.4
Apple iPhone 7 (Black| 128 GB),Rs.54,999,4.6
Apple iPhone 8 Plus (PRODUCT)RED (Red| 64 GB),Rs.74,499,4.6
Apple iPhone 7 (Gold| 128 GB),Rs.55,999,4.5
Apple iPhone 8 (Gold| 64 GB),Rs.62,990,4.5
Apple iPhone 8 Plus (Space Grey| 64 GB),Rs.73,999,4.6
Apple iPhone 7 (Silver| 32 GB),Rs.48,999,4.5
Apple iPhone 8 (PRODUCT)RED (Red| 64 GB),Rs.67,500,4.9
